




Time (Second)	Temperature (K)	Field 1 	Field 2 	Field 3 	Gate Voltage (Volt)	SR510 No. 1 (Ohm}	SR510 No. 2 (Ohm}	Empty	Empty	Leakage Current
1.000000E-1	4.487000E+0	1.000000E-4	0.000000E+0	0.000000E+0	5.000000E-1	4.005000E+1	6.800000E-1	0.000000E+0	0.000000E+0	-1.110212E-10
1.655000E+0	4.487000E+0	1.000000E-4	0.000000E+0	0.000000E+0	4.500000E-1	4.070000E+1	7.000000E-1	0.000000E+0	0.000000E+0	-1.846252E-10
3.207000E+0	4.487000E+0	1.000000E-4	0.000000E+0	0.000000E+0	4.000000E-1	4.455000E+1	7.800000E-1	0.000000E+0	0.000000E+0	-2.608943E-10
4.760000E+0	4.488000E+0	1.000000E-4	0.000000E+0	0.000000E+0	3.500000E-1	5.030000E+1	8.000000E-1	0.000000E+0	0.000000E+0	-3.032801E-10
6.315000E+0	4.487000E+0	1.000000E-4	0.000000E+0	0.000000E+0	3.000000E-1	5.555000E+1	8.300000E-1	0.000000E+0	0.000000E+0	-2.946506E-10
7.866000E+0	4.487000E+0	1.000000E-4	0.000000E+0	0.000000E+0	2.500000E-1	5.920000E+1	8.800000E-1	0.000000E+0	0.000000E+0	-2.461734E-10
9.416000E+0	4.487000E+0	1.000000E-4	0.000000E+0	0.000000E+0	2.000000E-1	6.245000E+1	7.800000E-1	0.000000E+0	0.000000E+0	-2.238384E-10
1.096900E+1	4.487000E+0	1.000000E-4	0.000000E+0	0.000000E+0	1.500000E-1	6.675000E+1	8.800000E-1	0.000000E+0	0.000000E+0	-2.644899E-10
1.251600E+1	4.487000E+0	1.000000E-4	0.000000E+0	0.000000E+0	1.000000E-1	7.150000E+1	8.800000E-1	0.000000E+0	0.000000E+0	-3.185931E-10
1.406200E+1	4.487000E+0	1.000000E-4	0.000000E+0	0.000000E+0	5.000000E-2	7.695000E+1	9.300000E-1	0.000000E+0	0.000000E+0	-2.710466E-10
1.561100E+1	4.487000E+0	1.000000E-4	0.000000E+0	0.000000E+0	0.000000E+0	8.195000E+1	1.030000E+0	0.000000E+0	0.000000E+0	-2.217234E-10
1.715900E+1	4.487000E+0	1.000000E-4	0.000000E+0	0.000000E+0	0.000000E+0	8.435000E+1	9.000000E-1	0.000000E+0	0.000000E+0	-2.633055E-10
