




Time (Second)	Temperature (K)	Field 1 	Field 2 	Field 3 	Gate Voltage (Volt)	SR510 No. 1 (Ohm}	SR510 No. 2 (Ohm}	Empty	Empty	Leakage Current
1.251000E+0	4.488000E+0	-0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.350000E+1	-0.000000E+0	0.000000E+0	0.000000E+0	-2.199046E-10
3.293000E+0	4.487000E+0	1.200000E-3	0.000000E+0	0.000000E+0	0.000000E+0	8.350000E+1	0.000000E+0	0.000000E+0	0.000000E+0	-3.083563E-10
5.302000E+0	4.486000E+0	8.100000E-3	0.000000E+0	0.000000E+0	0.000000E+0	8.300000E+1	1.500000E+1	0.000000E+0	0.000000E+0	-3.071718E-10
7.309000E+0	4.483000E+0	1.480000E-2	0.000000E+0	0.000000E+0	0.000000E+0	8.250000E+1	2.500000E+1	0.000000E+0	0.000000E+0	-3.055644E-10
9.319000E+0	4.480000E+0	2.040000E-2	0.000000E+0	0.000000E+0	0.000000E+0	8.250000E+1	3.500000E+1	0.000000E+0	0.000000E+0	-3.042530E-10
1.132100E+1	4.477000E+0	2.720000E-2	0.000000E+0	0.000000E+0	0.000000E+0	8.150000E+1	4.000000E+1	0.000000E+0	0.000000E+0	-3.085678E-10
1.332800E+1	4.472000E+0	3.380000E-2	0.000000E+0	0.000000E+0	0.000000E+0	8.100000E+1	5.500000E+1	0.000000E+0	0.000000E+0	-2.956659E-10
1.533300E+1	4.467000E+0	3.960000E-2	0.000000E+0	0.000000E+0	0.000000E+0	8.100000E+1	6.000000E+1	0.000000E+0	0.000000E+0	-3.020534E-10
1.734000E+1	4.461000E+0	4.620000E-2	0.000000E+0	0.000000E+0	0.000000E+0	8.000000E+1	7.500000E+1	0.000000E+0	0.000000E+0	-2.972311E-10
1.934900E+1	4.455000E+0	5.290000E-2	0.000000E+0	0.000000E+0	0.000000E+0	7.900000E+1	8.000000E+1	0.000000E+0	0.000000E+0	-2.893631E-10
2.135800E+1	4.446000E+0	5.850000E-2	0.000000E+0	0.000000E+0	0.000000E+0	7.900000E+1	8.500000E+1	0.000000E+0	0.000000E+0	-2.753614E-10
2.337400E+1	4.438000E+0	6.600000E-2	0.000000E+0	0.000000E+0	0.000000E+0	7.850000E+1	9.000000E+1	0.000000E+0	0.000000E+0	-2.393208E-10
2.538500E+1	4.429000E+0	7.270000E-2	0.000000E+0	0.000000E+0	0.000000E+0	7.850000E+1	1.050000E+2	0.000000E+0	0.000000E+0	-2.246846E-10
2.739400E+1	4.421000E+0	7.820000E-2	0.000000E+0	0.000000E+0	0.000000E+0	7.850000E+1	1.100000E+2	0.000000E+0	0.000000E+0	-2.212159E-10
2.938500E+1	4.411000E+0	8.500000E-2	0.000000E+0	0.000000E+0	0.000000E+0	7.850000E+1	1.250000E+2	0.000000E+0	0.000000E+0	-2.634748E-10
3.139100E+1	4.402000E+0	9.050000E-2	0.000000E+0	0.000000E+0	0.000000E+0	7.800000E+1	1.300000E+2	0.000000E+0	0.000000E+0	-2.560721E-10
3.339800E+1	4.392000E+0	9.720000E-2	0.000000E+0	0.000000E+0	0.000000E+0	7.800000E+1	1.350000E+2	0.000000E+0	0.000000E+0	-2.509536E-10
