




Time (Second)	Temperature (K)	Field 1 	Field 2 	Field 3 	Gate Voltage (Volt)	SR510 No. 1 (Ohm}	SR510 No. 2 (Ohm}	Empty	Empty	Leakage Current
1.010000E-1	4.489000E+0	1.000000E-4	0.000000E+0	0.000000E+0	5.000000E-1	4.150000E+1	5.000000E+0	0.000000E+0	0.000000E+0	-1.696510E-10
1.703000E+0	4.489000E+0	1.000000E-4	0.000000E+0	0.000000E+0	4.500000E-1	4.250000E+1	5.000000E+0	0.000000E+0	0.000000E+0	-1.824682E-10
3.302000E+0	4.489000E+0	1.000000E-4	0.000000E+0	0.000000E+0	4.000000E-1	4.650000E+1	5.000000E+0	0.000000E+0	0.000000E+0	-2.789570E-10
4.904000E+0	4.489000E+0	1.000000E-4	0.000000E+0	0.000000E+0	3.500000E-1	5.250000E+1	0.000000E+0	0.000000E+0	0.000000E+0	-2.622058E-10
6.507000E+0	4.489000E+0	1.000000E-4	0.000000E+0	0.000000E+0	3.000000E-1	5.750000E+1	0.000000E+0	0.000000E+0	0.000000E+0	-2.342870E-10
8.105000E+0	4.489000E+0	1.000000E-4	0.000000E+0	0.000000E+0	2.500000E-1	6.100000E+1	0.000000E+0	0.000000E+0	0.000000E+0	-3.115289E-10
9.702000E+0	4.489000E+0	1.000000E-4	0.000000E+0	0.000000E+0	2.000000E-1	6.350000E+1	0.000000E+0	0.000000E+0	0.000000E+0	-2.644901E-10
1.130000E+1	4.489000E+0	1.000000E-4	0.000000E+0	0.000000E+0	1.500000E-1	6.750000E+1	5.000000E+0	0.000000E+0	0.000000E+0	-2.347947E-10
1.290500E+1	4.489000E+0	1.000000E-4	0.000000E+0	0.000000E+0	1.000000E-1	7.150000E+1	0.000000E+0	0.000000E+0	0.000000E+0	-3.196930E-10
1.450800E+1	4.489000E+0	1.000000E-4	0.000000E+0	0.000000E+0	5.000000E-2	7.750000E+1	5.000000E+0	0.000000E+0	0.000000E+0	-2.306492E-10
1.610800E+1	4.489000E+0	1.000000E-4	0.000000E+0	0.000000E+0	0.000000E+0	8.250000E+1	5.000000E+0	0.000000E+0	0.000000E+0	-2.695662E-10
1.770500E+1	4.489000E+0	1.000000E-4	0.000000E+0	0.000000E+0	-5.000000E-2	8.650000E+1	5.000000E+0	0.000000E+0	0.000000E+0	-3.142362E-10
1.930300E+1	4.488000E+0	1.000000E-4	0.000000E+0	0.000000E+0	-1.000000E-1	9.350000E+1	5.000000E+0	0.000000E+0	0.000000E+0	-2.295071E-10
2.090200E+1	4.489000E+0	1.000000E-4	0.000000E+0	0.000000E+0	-1.500000E-1	1.000000E+2	5.000000E+0	0.000000E+0	0.000000E+0	-2.627558E-10
2.250800E+1	4.489000E+0	1.000000E-4	0.000000E+0	0.000000E+0	-2.000000E-1	1.055000E+2	0.000000E+0	0.000000E+0	0.000000E+0	-3.031956E-10
2.410800E+1	4.489000E+0	1.000000E-4	0.000000E+0	0.000000E+0	-2.500000E-1	1.140000E+2	5.000000E+0	0.000000E+0	0.000000E+0	-2.227389E-10
2.570600E+1	4.489000E+0	1.000000E-4	0.000000E+0	0.000000E+0	-3.000000E-1	1.255000E+2	0.000000E+0	0.000000E+0	0.000000E+0	-2.969773E-10
2.730500E+1	4.489000E+0	1.000000E-4	0.000000E+0	0.000000E+0	-3.500000E-1	1.390000E+2	5.000000E+0	0.000000E+0	0.000000E+0	-3.039570E-10
2.890400E+1	4.489000E+0	1.000000E-4	0.000000E+0	0.000000E+0	-4.000000E-1	1.560000E+2	5.000000E+0	0.000000E+0	0.000000E+0	-2.197356E-10
3.049300E+1	4.489000E+0	1.000000E-4	0.000000E+0	0.000000E+0	-4.500000E-1	1.775000E+2	0.000000E+0	0.000000E+0	0.000000E+0	-2.580602E-10
3.208900E+1	4.489000E+0	1.000000E-4	0.000000E+0	0.000000E+0	-5.000000E-1	2.035000E+2	5.000000E+0	0.000000E+0	0.000000E+0	-3.325948E-10
3.367500E+1	4.489000E+0	1.000000E-4	0.000000E+0	0.000000E+0	-5.000000E-1	2.325000E+2	5.000000E+0	0.000000E+0	0.000000E+0	-2.815798E-10
